Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2BC1009,423458,442293,2,12-Nov-15,1544,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Taxi/Private hire car
2BC1284,435841,436400,2,12-Nov-15,1645,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,28,Car
2BC1369,431140,434384,2,12-Nov-15,1829,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2BD0821,432668,435896,1,13-Nov-15,1408,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,19,Goods vehicle 3.5 tonnes mgw and under
2BD1081,432224,434658,1,13-Nov-15,1614,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Male,22,Car
2BD1177,443330,438897,3,13-Nov-15,1704,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,30,Car
2BD1209,422458,433985,1,13-Nov-15,1715,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,79,Car
2BD1431,431272,434140,2,13-Nov-15,1900,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,49,Pedal cycle
2BD1623,429155,435471,2,13-Nov-15,2120,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,27,Car
2BD1623,429155,435471,2,13-Nov-15,2120,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,60,Car
2BD1623,429155,435471,2,13-Nov-15,2120,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,39,Car
2BD1623,429155,435471,2,13-Nov-15,2120,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Male,9,Car
2BE0875,428285,426396,3,14-Nov-15,1415,Motorway,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,34,Car
2BE1319,428990,428661,1,14-Nov-15,1851,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,22,Car
2BE1442,427708,435024,2,14-Nov-15,1955,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,20,Car
2BE1514,432723,433867,1,14-Nov-15,1000,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Male,81,Car
2BE1731,430674,434359,1,14-Nov-15,2305,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,21,Taxi/Private hire car
2BE1731,430674,434359,1,14-Nov-15,2305,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,21,Taxi/Private hire car
2BF0288,428498,434548,1,15-Nov-15,455,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,20,Car
2BF0288,428498,434548,1,15-Nov-15,455,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Serious,Male,21,Car
2BF0776,433580,435853,2,15-Nov-15,1230,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,30,Car
2BF0776,433580,435853,2,15-Nov-15,1230,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,34,Car
2BF0776,433580,435853,2,15-Nov-15,1230,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,9,Car
2BF0776,433580,435853,2,15-Nov-15,1230,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,4,Car
2BF0776,433580,435853,2,15-Nov-15,1230,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,53,Car
2BF0776,433580,435853,2,15-Nov-15,1230,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,53,Car
2BF0776,433580,435853,2,15-Nov-15,1230,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,23,Car
2BF1123,433722,428556,1,15-Nov-15,1545,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Slight,Female,8,Bus or coach (17 or more passenger seats)
2BG0075,429918,430403,1,16-Nov-15,142,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,17,Car
2BG1050,427501,425512,1,16-Nov-15,1520,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,5,Car
2BG1050,427501,425512,1,16-Nov-15,1520,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,33,Car
2BG1141,431012,432318,1,16-Nov-15,1636,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,39,Car
2BG1160,430518,431245,2,16-Nov-15,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2BG1160,430518,431245,2,16-Nov-15,1645,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,19,Goods vehicle 3.5 tonnes mgw and under
2BH0300,431440,431608,2,13-Nov-15,1750,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,44,Pedal cycle
2BH0484,427062,431803,3,17-Nov-15,1044,A,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,31,Goods vehicle 3.5 tonnes mgw and under
2BH0810,428045,432829,1,04-Nov-15,1745,B,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,31,Bus or coach (17 or more passenger seats)
2BH1229,430086,431334,1,17-Nov-15,1754,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,3,Car
2BH1229,430086,431334,1,17-Nov-15,1754,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,4,Car
2BH1389,427007,440385,2,17-Nov-15,1910,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2BH1389,427007,440385,2,17-Nov-15,1910,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,30,Car
2BH1707,431812,430459,1,17-Nov-15,2230,Motorway,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,32,Car
2BI0170,434993,425884,1,18-Nov-15,640,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2BI0187,441820,427813,2,18-Nov-15,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2BI0187,441820,427813,2,18-Nov-15,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Bus or coach (17 or more passenger seats)
2BI0187,441820,427813,2,18-Nov-15,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,53,Bus or coach (17 or more passenger seats)
2BI0187,441820,427813,2,18-Nov-15,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,36,Bus or coach (17 or more passenger seats)
2BI0187,441820,427813,2,18-Nov-15,715,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,43,Bus or coach (17 or more passenger seats)
2BI0260,430892,438631,2,18-Nov-15,834,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Serious,Male,47,Pedal cycle
2BI0836,429000,436847,2,18-Nov-15,1433,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
2BI0836,429000,436847,2,18-Nov-15,1433,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2BI0875,440643,448250,1,18-Nov-15,1459,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Pedestrian,Serious,Female,83,Car
2BI1085,429238,425698,2,19-Nov-15,1615,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,17,Pedal cycle
2BI1134,431660,437523,1,18-Nov-15,1717,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,46,Car
2BI1443,427418,435988,2,18-Nov-15,1945,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,24,Car
2BI1494,435433,425914,2,18-Nov-15,1925,Motorway,Wet / Damp,Darkness: street lighting unknown,Raining with high winds,Driver/Rider,Slight,Female,38,Car
2BI1508,440631,448059,1,19-Nov-15,1920,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Female,30,Car
2BI1536,431375,433950,1,18-Nov-15,2040,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Slight,Male,14,Car
2BI1595,427385,430844,3,18-Nov-15,2124,Motorway,Frost / Ice,Darkness: street lights present and lit,Other,Driver/Rider,Slight,Female,33,Car
2BI1762,427374,430840,2,18-Nov-15,2125,Motorway,Frost / Ice,Darkness: street lights present and lit,Other,Passenger,Slight,Female,80,Car
2BJ0203,427896,436200,2,19-Nov-15,715,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,27,Motorcycle over 50cc and up to 125cc
2BJ0235,428905,429928,2,19-Nov-15,810,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Male,39,Car
2BJ0235,428905,429928,2,19-Nov-15,810,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,15,Car
2BJ0235,428905,429928,2,19-Nov-15,810,Unclassified,Dry,Daylight: street lights present,Fine with high winds,Passenger,Slight,Female,12,Car
2BJ0466,426284,435583,2,19-Nov-15,1056,B,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Female,70,Car
2BJ0466,426284,435583,2,19-Nov-15,1056,B,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,30,Car
2BJ1200,431276,433844,1,19-Nov-15,1750,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,9,Car
2BJ1323,436082,434821,2,19-Nov-15,1915,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,44,Car
2BJ1340,430894,436566,2,19-Nov-15,1920,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,19,Car
2BK0205,430111,431741,2,20-Nov-15,638,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,35,M/cycle 50cc and under
2BK0414,434547,434521,1,25-Nov-15,1005,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,42,Car
2BK0930,430611,434566,3,20-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,51,Car
2BK0930,430611,434566,3,20-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,46,Car
2BK1188,431321,429000,2,20-Nov-15,1705,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,38,Car
2BK1222,430171,432846,1,20-Nov-15,1724,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,21,Car
2BL0890,435309,431299,1,21-Nov-15,1400,Motorway,Dry,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,24,Car
2BL0963,442878,430634,2,21-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
2BL0963,442878,430634,2,21-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,71,Car
2BL0963,442878,430634,2,21-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,66,Car
2BL1032,430982,433819,1,21-Nov-15,1538,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,11,Car
2BL1175,429938,427199,1,21-Nov-15,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,14,Motorcycle over 50cc and up to 125cc
2BL1175,429938,427199,1,21-Nov-15,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,18,Motorcycle over 50cc and up to 125cc
2BL1215,424330,437178,3,21-Nov-15,1710,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,11,Car
2BL1480,423529,437895,3,21-Nov-15,2000,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,51,Car
2BM0042,431962,435833,2,22-Nov-15,24,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,30,Car
2BM0042,431962,435833,2,22-Nov-15,24,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Car
2BM0566,432748,436873,3,22-Nov-15,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Car
2BM0768,433988,435146,2,22-Nov-15,1400,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Car
2BN0158,437885,433000,1,23-Nov-15,701,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2BN1013,428998,433540,2,23-Nov-15,1620,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
2BN1013,428998,433540,2,23-Nov-15,1620,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,14,Car
2BN1292,431912,434798,2,23-Nov-15,1828,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,55,Taxi/Private hire car
2BN1303,426397,435875,1,23-Nov-15,1900,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,56,Car
2BN1348,421613,434396,2,23-Nov-15,1920,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,27,Pedal cycle
2BO0148,433142,426326,2,24-Nov-15,525,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,47,Pedal cycle
2BO0180,425059,433375,2,24-Nov-15,648,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,24,Car
2BO0258,434074,429952,3,24-Nov-15,839,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Goods vehicle 3.5 tonnes mgw and under
2BO0258,434074,429952,3,24-Nov-15,839,Motorway,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,54,Goods vehicle 3.5 tonnes mgw and under
2BO0324,435811,425811,2,24-Nov-15,930,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Car
2BO0396,424184,432478,2,24-Nov-15,1015,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Car
2BO0556,432296,430888,2,24-Nov-15,1158,B,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,36,Pedal cycle
2BO0557,430120,431833,2,24-Nov-15,950,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,37,Bus or coach (17 or more passenger seats)
2BO0557,430120,431833,2,24-Nov-15,950,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,20,Bus or coach (17 or more passenger seats)
2BO0767,433005,432644,1,24-Nov-15,1305,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,32,Car
2BO1148,427435,433446,2,23-Nov-15,1450,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2BO1175,436976,433594,2,24-Nov-15,1747,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,61,Car
2BO1175,436976,433594,2,24-Nov-15,1747,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,31,Car
2BO1598,434870,437185,2,24-Nov-15,2211,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,19,Car
2BP0231,424890,427729,3,25-Nov-15,745,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Motorcycle over 500cc
2BP0668,427900,436185,2,25-Nov-15,1238,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Pedal cycle
2BP1052,434360,428231,2,25-Nov-15,1602,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,61,Pedal cycle
2BQ0098,430536,433702,2,26-Nov-15,220,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,23,Taxi/Private hire car
2BQ0250,428502,433030,3,26-Nov-15,838,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,20,Car
2BQ0250,428502,433030,3,26-Nov-15,838,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,39,Car
2BQ0250,428502,433030,3,26-Nov-15,838,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,20,Bus or coach (17 or more passenger seats)
2BQ0250,428502,433030,3,26-Nov-15,838,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Bus or coach (17 or more passenger seats)
2BQ0250,428502,433030,3,26-Nov-15,838,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Bus or coach (17 or more passenger seats)
2BQ0268,424124,428117,3,26-Nov-15,849,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2BQ0270,428199,434922,2,26-Nov-15,900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Car
2BQ0325,429762,439293,2,26-Nov-15,923,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,29,Bus or coach (17 or more passenger seats)
2BQ0325,429762,439293,2,26-Nov-15,923,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,48,Bus or coach (17 or more passenger seats)
2BQ0998,429534,434846,1,26-Nov-15,1600,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,19,Bus or coach (17 or more passenger seats)
2BQ1051,429785,434112,3,26-Nov-15,1623,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,21,Pedal cycle
2BQ1071,428156,426250,2,26-Nov-15,1633,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,23,Motorcycle over 500cc
2BQ1122,434993,425884,3,26-Nov-15,1656,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,32,Goods vehicle 3.5 tonnes mgw and under
2BQ1122,434993,425884,3,26-Nov-15,1656,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,45,Car
2BQ1122,434993,425884,3,26-Nov-15,1656,Motorway,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,56,Car
2BQ1184,427587,431974,2,26-Nov-15,1730,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,49,Goods vehicle 3.5 tonnes mgw and under
2BQ1207,428553,432144,2,26-Nov-15,1739,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2BR0193,428923,429885,3,27-Nov-15,600,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Car
2BR0193,428923,429885,3,27-Nov-15,600,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,37,Taxi/Private hire car
2BR0219,430508,432879,2,27-Nov-15,701,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,25,Pedal cycle
2BR0258,434207,433658,1,27-Nov-15,759,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,61,Taxi/Private hire car
2BR0342,430359,434442,1,27-Nov-15,830,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,29,Car
2BR0360,424867,435482,2,27-Nov-15,915,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,19,Car
2BR0722,444575,427872,1,27-Nov-15,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,69,Car
2BR0953,431798,425391,2,27-Nov-15,1455,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,52,Car
2BR0965,427932,426305,2,27-Nov-15,1505,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,63,Car
2BR1717,429928,432977,2,27-Nov-15,2222,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,22,Car
2BR1717,429928,432977,2,27-Nov-15,2222,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,20,Car
2BR1877,429435,433841,1,27-Nov-15,2355,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,22,Taxi/Private hire car
2BS0653,430201,438774,2,28-Nov-15,1120,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,71,Car
2BS0858,422646,440085,1,28-Nov-15,1345,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Serious,Male,26,Motorcycle over 50cc and up to 125cc
2BS0976,428510,434481,5,28-Nov-15,1509,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2BS0979,436167,427561,4,28-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,49,Car
2BS0979,436167,427561,4,28-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,25,Car
2BS0979,436167,427561,4,28-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,3,Car
2BS0979,436167,427561,4,28-Nov-15,1510,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,30,Car
2BS1043,431506,435135,2,28-Nov-15,1340,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Car
2BS1043,431506,435135,2,28-Nov-15,1340,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,51,Car
2BS1064,423852,434291,1,28-Nov-15,1630,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Female,23,Car
2BS1124,428128,432798,2,28-Nov-15,1650,B,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,30,Car
2BS1390,429915,433662,1,28-Nov-15,1915,Unclassified,Dry,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,15,Taxi/Private hire car
2BT0323,430273,433087,2,29-Nov-15,415,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Passenger,Slight,Female,25,Taxi/Private hire car
2BT0625,428480,437171,2,29-Nov-15,1125,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Female,50,Car
2BT0731,431592,430746,2,29-Nov-15,1243,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,35,Goods vehicle 3.5 tonnes mgw and under
2BT0731,431592,430746,2,29-Nov-15,1243,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Driver/Rider,Slight,Male,32,Car
2BT0848,430300,425100,2,29-Nov-15,1335,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,35,Car
2BT0848,430300,425100,2,29-Nov-15,1335,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,34,Car
2BT0848,430300,425100,2,29-Nov-15,1335,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,60,Car
2BT0933,426312,435588,2,29-Nov-15,1408,Unclassified,Wet / Damp,Daylight: street lights present,Raining with high winds,Passenger,Slight,Female,10,Car
2BU0184,428098,434518,2,30-Nov-15,655,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,33,Motorcycle over 500cc
2BU0201,432521,427552,2,30-Nov-15,720,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Serious,Male,43,Motorcycle over 50cc and up to 125cc
2BU0217,427907,432906,1,30-Nov-15,750,B,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,14,Motorcycle over 500cc
2BU0358,430990,431745,2,30-Nov-15,905,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,15,Pedal cycle
2BU0477,425804,429069,1,30-Nov-15,1115,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,66,Car
2BU0482,428880,435527,1,30-Nov-15,1119,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,19,Car
2BU1099,441009,433139,1,30-Nov-15,1610,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Male,1,Bus or coach (17 or more passenger seats)
2BU1105,424066,434687,2,30-Nov-15,1719,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,22,Car
2BU1305,427995,426432,2,30-Nov-15,1305,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,31,Car
2BU1340,429392,435491,2,30-Nov-15,1949,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,42,Taxi/Private hire car
2BU1340,429392,435491,2,30-Nov-15,1949,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,20,Taxi/Private hire car
2C10186,428584,427781,2,01-Dec-15,715,A,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver/Rider,Slight,Male,17,Car
2C10189,429832,432950,1,01-Dec-15,655,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,25,Car
2C10469,436277,441298,3,01-Dec-15,1130,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver/Rider,Serious,Male,26,Car
2C10469,436277,441298,3,01-Dec-15,1130,A,Wet / Damp,Daylight: street lights present,Fine with high winds,Driver/Rider,Slight,Female,81,Car
2C10681,422175,436702,2,01-Dec-15,1332,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,38,Car
