Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1B71058,418310,441354,2,07-Nov-14,1710,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,35,Pedal cycle
1B80598,437409,433304,2,08-Nov-14,1155,A,Wet / Damp,Daylight: street lights present,Raining without high winds,2,Passenger,Slight,Female,74,Car
1B80877,427871,436243,2,08-Nov-14,1510,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,21,Pedal cycle
1B80904,421427,444386,1,08-Nov-14,1534,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,52,Motorcycle over 50cc and up to 125cc
1B81041,424385,428120,2,08-Nov-14,1700,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,31,Car
1B81081,428094,434585,2,08-Nov-14,1720,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,29,Pedal cycle
1B81231,432455,435818,8,08-Nov-14,1942,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,29,Car
1B81231,432455,435818,8,08-Nov-14,1942,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Serious,Female,54,Car
1B90642,424742,427921,2,09-Nov-14,1201,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,55,Motorcycle over 500cc
1B90642,424742,427921,2,09-Nov-14,1201,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,55,Motorcycle over 500cc
1B90939,429386,423388,2,09-Nov-14,1515,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,46,Pedal cycle
1B91114,430148,431458,1,09-Nov-14,1710,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Female,38,Car
1B91268,433589,434478,1,09-Nov-14,1905,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Male,34,Motorcycle over 125cc and up to 500cc
1B91312,428463,431349,2,09-Nov-14,1940,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,53,Car
1B91364,424078,430343,1,09-Nov-14,2005,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,39,Motorcycle over 500cc
1BA0067,427083,433353,2,10-Nov-14,205,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,30,Car
1BA0534,426777,426777,1,10-Nov-14,1157,B,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,66,Car
1BA0827,440122,436711,1,10-Nov-14,1500,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,12,Car
1BA1041,421765,435277,1,10-Nov-14,1500,B,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,79,Bus or coach (17 or more passenger seats)
1BA1337,426197,435503,2,10-Nov-14,1943,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,49,Goods vehicle 3.5 tonnes mgw and under
1BA1337,426197,435503,2,10-Nov-14,1943,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,25,Car
1BA1337,426197,435503,2,10-Nov-14,1943,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,23,Car
1BB0153,429134,432107,2,11-Nov-14,620,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,1,Driver,Slight,Female,52,Car
1BB0240,429868,428083,1,11-Nov-14,829,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,14,Car
1BB0248,429677,434584,1,11-Nov-14,130,A,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Male,21,Car
1BB0772,429910,436614,1,11-Nov-14,1420,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Female,72,Motorcycle over 50cc and up to 125cc
1BB0893,425905,433709,1,11-Nov-14,1538,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,70,Motorcycle over 500cc
1BB0985,424867,444539,1,11-Nov-14,1615,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Female,74,Car
1BB1123,423505,437906,1,11-Nov-14,1717,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,3,Pedestrian,Slight,Female,7,Car
1BB1160,436661,436259,2,11-Nov-14,1737,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,27,Motorcycle over 50cc and up to 125cc
1BB1163,426059,436372,1,11-Nov-14,1735,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,3,Pedestrian,Serious,Female,55,Car
1BB1391,419602,445163,1,11-Nov-14,1740,A,Wet / Damp,Darkness: street lighting unknown,Unknown,3,Pedestrian,Slight,Male,10,Car
1BC0195,430907,436553,2,12-Nov-14,800,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,40,Pedal cycle
1BC0488,429741,438838,2,12-Nov-14,1132,A,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Female,79,Car
1BC0488,429741,438838,2,12-Nov-14,1132,A,Wet / Damp,Daylight: street lights present,Raining without high winds,2,Passenger,Slight,Female,28,Car
1BC0575,430657,434695,2,12-Nov-14,1234,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,39,Car
1BC0575,430657,434695,2,12-Nov-14,1234,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,46,Bus or coach (17 or more passenger seats)
1BC0783,429815,434402,1,12-Nov-14,1426,A,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,20,Car
1BC0870,444502,432461,2,12-Nov-14,1510,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,34,Pedal cycle
1BC0993,430949,433302,1,12-Nov-14,1615,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,41,Goods vehicle 3.5 tonnes mgw and under
1BC0993,430949,433302,1,12-Nov-14,1615,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,40,Goods vehicle 3.5 tonnes mgw and under
1BC1099,429650,424258,2,12-Nov-14,1705,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,54,Pedal cycle
1BC1349,430832,433303,1,12-Nov-14,1905,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,3,Pedestrian,Slight,Male,24,Car
1BC1703,430817,433903,2,13-Nov-14,2334,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,23,Pedal cycle
1BD0612,421293,436310,1,13-Nov-14,1210,B,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,20,Car
1BD0612,421293,436310,1,13-Nov-14,1210,B,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,19,Car
1BD0797,421007,434310,2,13-Nov-14,1354,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,59,Car
1BD0797,421007,434310,2,13-Nov-14,1354,A,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,45,Car
1BD0797,421007,434310,2,13-Nov-14,1354,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,42,Car
1BD0891,441549,431856,2,13-Nov-14,1500,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,45,Pedal cycle
1BD0902,431495,430518,1,13-Nov-14,1511,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,12,Goods vehicle 7.5 tonnes mgw and over
1BD0941,429931,433602,1,13-Nov-14,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,78,Bus or coach (17 or more passenger seats)
1BD1084,430700,433611,1,13-Nov-14,1630,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,86,Car
1BD1354,428606,432888,3,13-Nov-14,1915,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,26,Car
1BD1512,428359,433096,2,25-Oct-14,200,Unclassified,Dry,Darkness: street lighting unknown,Unknown,2,Passenger,Slight,Female,18,Car
1BD1512,428359,433096,2,25-Oct-14,200,Unclassified,Dry,Darkness: street lighting unknown,Unknown,2,Passenger,Slight,Male,27,Car
1BD1512,428359,433096,2,25-Oct-14,200,Unclassified,Dry,Darkness: street lighting unknown,Unknown,2,Passenger,Slight,Female,19,Car
1BE0688,433592,432098,1,14-Nov-14,1257,A,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,40,Goods vehicle 7.5 tonnes mgw and over
1BE0816,428949,433438,3,14-Nov-14,1412,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,57,Car
1BE0816,428949,433438,3,14-Nov-14,1412,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,18,Car
1BE0816,428949,433438,3,14-Nov-14,1412,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,23,Car
1BE1093,425977,429969,2,14-Nov-14,1630,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,55,Car
1BE1093,425977,429969,2,14-Nov-14,1630,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,29,Car
1BE1093,425977,429969,2,14-Nov-14,1630,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,34,Car
1BE1093,425977,429969,2,14-Nov-14,1630,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,25,Car
1BE1165,431290,435357,3,13-Nov-14,2345,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,19,Car
1BE1165,431290,435357,3,13-Nov-14,2345,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,20,Car
1BE1165,431290,435357,3,13-Nov-14,2345,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,21,Car
1BE1165,431290,435357,3,13-Nov-14,2345,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,20,Car
1BE1197,428972,433449,2,14-Nov-14,1645,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,33,Goods vehicle 3.5 tonnes mgw and under
1BE1361,433310,426327,2,14-Nov-14,1835,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,42,Car
1BE1402,427506,425505,2,14-Nov-14,1900,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,21,Car
1BE1402,427506,425505,2,14-Nov-14,1900,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,20,Car
1BE1861,429119,430983,2,14-Nov-14,2129,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,61,Car
1BF0605,430374,433563,1,15-Nov-14,1039,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,41,Bus or coach (17 or more passenger seats)
1BF1032,427366,434653,2,15-Nov-14,1521,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,18,Pedal cycle
1BF1591,424574,439333,1,15-Nov-14,2035,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,3,Pedestrian,Slight,Male,45,Car
1BF1645,427080,433505,2,15-Nov-14,2125,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Female,87,Car
1BF1645,427080,433505,2,15-Nov-14,2125,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Female,29,Car
1BF1842,431682,434516,1,15-Nov-14,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,28,Car
1BG0026,419783,434063,4,16-Nov-14,10,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,17,Car
1BG0026,419783,434063,4,16-Nov-14,10,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,17,Car
1BG0184,427918,436162,1,16-Nov-14,155,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,27,Car
1BG1455,428816,430385,2,16-Nov-14,2045,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Serious,Male,24,Motorcycle over 50cc and up to 125cc
1BH0195,436153,440932,1,17-Nov-14,759,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,27,Car
1BH0291,433700,427206,1,17-Nov-14,900,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,40,Car
1BH1330,431881,435701,2,17-Nov-14,1900,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,48,Pedal cycle
1BH1357,429050,434511,2,17-Nov-14,1835,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,23,Pedal cycle
1BI1005,430878,426518,3,18-Nov-14,1720,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,21,Goods vehicle 3.5 tonnes mgw and under
1BI1148,428527,429633,1,18-Nov-14,1707,A,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Serious,Male,11,Bus or coach (17 or more passenger seats)
1BI1481,430832,434317,3,18-Nov-14,1935,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,30,Motorcycle over 50cc and up to 125cc
1BI1481,430832,434317,3,18-Nov-14,1935,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,24,Motorcycle over 50cc and up to 125cc
1BI1641,429028,432103,2,18-Nov-14,1856,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,2,Passenger,Serious,Female,24,Bus or coach (17 or more passenger seats)
1BI1667,422461,440268,1,18-Nov-14,2143,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,1,Driver,Slight,Male,17,Car
1BI1667,422461,440268,1,18-Nov-14,2143,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,2,Passenger,Slight,Male,17,Car
1BI1667,422461,440268,1,18-Nov-14,2143,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,2,Passenger,Slight,Male,18,Car
1BI1667,422461,440268,1,18-Nov-14,2143,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,2,Passenger,Slight,Male,17,Car
1BI1667,422461,440268,1,18-Nov-14,2143,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,2,Passenger,Slight,Male,17,Car
1BJ0232,431063,430366,2,19-Nov-14,737,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,25,Pedal cycle
1BJ0252,430967,433429,2,19-Nov-14,745,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,40,Pedal cycle
1BJ0529,436196,435590,2,19-Nov-14,915,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,54,Car
1BJ0607,427027,424759,2,19-Nov-14,1130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,43,Pedal cycle
1BJ1049,429803,434430,2,19-Nov-14,1535,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,18,Pedal cycle
1BJ1252,426126,439211,1,19-Nov-14,1650,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Female,16,Car
1BJ1487,434370,435182,1,19-Nov-14,1800,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,14,Goods vehicle 3.5 tonnes mgw and under
1BK0249,430941,435677,2,20-Nov-14,807,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,34,Pedal cycle
1BK0296,430808,435341,2,20-Nov-14,853,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,49,Pedal cycle
1BK0331,426378,435440,2,20-Nov-14,915,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,41,Pedal cycle
1BK0409,428397,433381,2,20-Nov-14,1015,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,29,Car
1BK0409,428397,433381,2,20-Nov-14,1015,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,1,Car
1BK0931,428906,435514,1,20-Nov-14,1503,A,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,27,Car
1BK1234,431910,434801,2,20-Nov-14,1720,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,30,Car
1BK1413,427698,434469,2,20-Nov-14,1700,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Female,35,Car
1BK1413,427698,434469,2,20-Nov-14,1700,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,12,Car
1BK1413,427698,434469,2,20-Nov-14,1700,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,13,Car
1BL0448,429309,435030,2,07-Nov-14,930,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,33,Car
1BL1264,439019,431734,3,21-Nov-14,1830,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,1,Driver,Slight,Male,50,Car
1BL1264,439019,431734,3,21-Nov-14,1830,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,2,Passenger,Serious,Female,41,Car
1BL1264,439019,431734,3,21-Nov-14,1830,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,2,Passenger,Slight,Female,14,Car
1BL1264,439019,431734,3,21-Nov-14,1830,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,1,Driver,Serious,Female,27,Car
1BL1264,439019,431734,3,21-Nov-14,1830,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,2,Passenger,Slight,Male,23,Car
1BL1451,431764,432386,1,21-Nov-14,2013,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Serious,Male,26,Car
1BL1477,423875,428197,1,21-Nov-14,2025,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,17,Car
1BL1477,423875,428197,1,21-Nov-14,2025,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Male,16,Car
1BL1723,429309,435030,2,21-Nov-14,2315,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Female,22,Pedal cycle
1BM0399,428560,431696,2,22-Nov-14,801,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,25,Goods vehicle 3.5 tonnes mgw and under
1BM0399,428560,431696,2,22-Nov-14,801,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,37,Goods vehicle 3.5 tonnes mgw and under
1BM0399,428560,431696,2,22-Nov-14,801,A,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,23,Goods vehicle 3.5 tonnes mgw and under
1BM0606,436245,435655,2,16-Nov-14,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,34,Car
1BM0808,441084,432375,1,22-Nov-14,1340,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Serious,Male,71,Car
1BM0901,430951,435935,2,22-Nov-14,1457,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,68,Bus or coach (17 or more passenger seats)
1BM0901,430951,435935,2,22-Nov-14,1457,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,80,Bus or coach (17 or more passenger seats)
1BM0901,430951,435935,2,22-Nov-14,1457,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Female,78,Bus or coach (17 or more passenger seats)
1BM0901,430951,435935,2,22-Nov-14,1457,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,50,Car
1BM1325,430786,424518,2,22-Nov-14,1900,A,Dry,Darkness: street lights present and lit,Fine without high winds,2,Passenger,Slight,Female,59,Car
1BM1357,428418,435457,2,22-Nov-14,1840,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,34,Car
1BN0022,429215,430037,2,23-Nov-14,22,A,Dry,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,38,Car
1BN0662,435929,435431,1,23-Nov-14,1015,A,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,42,Bus or coach (17 or more passenger seats)
1BN0968,422662,444687,2,23-Nov-14,1541,A,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Serious,Male,61,Pedal cycle
1BN1340,429721,439316,2,23-Nov-14,1956,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,20,Car
1BN1354,421479,434423,2,23-Nov-14,2009,B,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,34,Motorcycle over 50cc and up to 125cc
1BO0190,420905,434495,2,24-Nov-14,707,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,38,Car
1BO0266,430439,434380,2,24-Nov-14,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,50,Pedal cycle
1BO0392,427776,430743,2,24-Nov-14,1010,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Female,56,Car
1BO0580,442043,445329,1,24-Nov-14,835,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,10,Car
1BO0775,426352,433938,2,24-Nov-14,1354,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,78,Car
1BO0998,441312,445249,1,24-Nov-14,1550,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,1,Driver,Slight,Male,40,Goods vehicle 3.5 tonnes mgw and under
1BO1072,431917,430501,2,24-Nov-14,1630,A,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,23,Car
1BO1098,445208,447085,2,24-Nov-14,1630,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,1,Driver,Slight,Male,37,Pedal cycle
1BP0831,432248,436985,1,25-Nov-14,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Female,7,Car
1BP0851,429311,423387,1,25-Nov-14,1542,Unclassified,Frost / Ice,Darkness: street lighting unknown,Fine without high winds,1,Driver,Slight,Male,34,Car
1BP1034,430593,434504,1,25-Nov-14,1745,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,32,Car
1BP1159,425740,438723,1,25-Nov-14,1840,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Female,6,Car
1BP1203,423040,437639,2,25-Nov-14,1914,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,50,Pedal cycle
1BP1384,429936,433352,1,25-Nov-14,2112,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Male,44,Bus or coach (17 or more passenger seats)
1BP1384,429936,433352,1,25-Nov-14,2112,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Female,15,Bus or coach (17 or more passenger seats)
1BQ0164,423192,434656,2,26-Nov-14,655,B,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,43,Pedal cycle
1BQ0224,429457,430234,2,26-Nov-14,810,A,Wet / Damp,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,16,Car
1BQ0330,432787,437176,2,26-Nov-14,942,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Female,82,Car
1BQ0425,436295,434707,1,26-Nov-14,1051,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Fatal,Female,83,Goods vehicle 7.5 tonnes mgw and over
1BQ1087,420499,445640,2,26-Nov-14,1754,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,54,Goods vehicle 3.5 tonnes mgw and under
1BQ1150,430494,425066,2,26-Nov-14,1825,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Slight,Male,32,Car
1BR0178,428808,432612,2,26-Nov-14,1640,A,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,1,Driver,Slight,Female,53,Car
1BR0268,425453,434293,1,27-Nov-14,921,A,Wet / Damp,Daylight: street lights present,Raining without high winds,2,Passenger,Serious,Female,40,Car
1BR0544,421923,433939,2,27-Nov-14,1225,A,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,26,Car
1BR0544,421923,433939,2,27-Nov-14,1225,A,Wet / Damp,Daylight: street lights present,Raining without high winds,2,Passenger,Slight,Female,22,Car
1BR1318,432729,438445,2,27-Nov-14,2005,Unclassified,#N/A,Darkness: street lighting unknown,Unknown,1,Driver,Slight,Male,40,Car
1BR1389,425965,426786,1,27-Nov-14,1910,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,3,Pedestrian,Slight,Female,65,Car
1BS0244,438723,445898,2,28-Nov-14,725,A,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Male,31,Car
1BS0244,438723,445898,2,28-Nov-14,725,A,Wet / Damp,Daylight: street lights present,Raining without high winds,1,Driver,Slight,Female,57,Car
1BS0335,418586,442905,1,28-Nov-14,820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,3,Pedestrian,Slight,Male,15,Car
1BS1245,429568,430336,2,28-Nov-14,1755,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,33,Car
1BS1245,429568,430336,2,28-Nov-14,1755,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,1,Driver,Slight,Male,57,Car
1BS1772,433698,433463,2,28-Nov-14,2055,Unclassified,Dry,Darkness: street lighting unknown,Fine without high winds,1,Driver,Serious,Male,41,Pedal cycle
1BT0117,425250,437877,1,29-Nov-14,131,A,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,1,Driver,Serious,Male,41,Motorcycle over 50cc and up to 125cc
1BT0737,428931,434594,2,29-Nov-14,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,1,Driver,Slight,Male,22,Car
1BT0737,428931,434594,2,29-Nov-14,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,25,Car
1BT0737,428931,434594,2,29-Nov-14,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,2,Passenger,Slight,Male,20,Car
